tweetDate,content,twitterProfile,tweetUrl,timestamp,query
Mon Jun 07 03:56:23 +0000 2021,"Guayaquil de mis amores, manso de mi corazón...no puedo con tanto! #volandoando #aeroviaGuayaquil cuando la felicidad viene de afuera... postales de mi tierra... https://t.co/Jor4jJGlyB",https://twitter.com/susana_avilesc,https://twitter.com/susana_avilesc/status/1401749854192291840,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Sun Jun 27 02:47:48 +0000 2021,"Today, just 3 hours away from the keyboard, I went with my wife and one of my kids to visit #aeroviaguayaquil.

Amazing view, exciting, and I saw a line of business up there. Thinking of it a lot.

The city is growing up and changing. It's a good vibe. https://t.co/Rq74BHvkYS",https://twitter.com/Neshototo,https://twitter.com/Neshototo/status/1408980354304708610,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Mon Apr 04 12:26:11 +0000 2022,"Buenas cosas vienen para aquellos que creen, cosas mejores vienen para aquellos que son pacientes, pero las mejores cosas vienen para aquellos que no se rinden.
Buenos días 🌻
Excelente semana para todos 🤗
#AeroviaGuayaquil https://t.co/JeIIKEZ1HL",https://twitter.com/KarmaRh,https://twitter.com/KarmaRh/status/1510956897733681155,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Thu May 11 14:59:06 +0000 2023,"A la izquierda se aprecia Las Peñas🏘  y al final LA PERLA 🎡... Espero que les haya gustado el paseo, y hayan conocido un poco más de ciudad ❤️ #AeroviaGuayaquil 🚠 https://t.co/HWugTZB4lU",https://twitter.com/Shinigami593,https://twitter.com/Shinigami593/status/1656675305048920067,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Tue Mar 12 17:07:03 +0000 2019,"#MardiChantier 
Montage d’1 des 5 gares de l’#AeroviaGuayaquil, 1ère ligne urbaine d’Equateur ! 
Avec cette télécabine, les habitants de Duran traverseront le fleuve Guayas (2km) et rejoindront le centre de Guayaquil en 17min ! https://t.co/nJdQgwKcf4",https://twitter.com/POMA_ropeways,https://twitter.com/POMA_ropeways/status/1105515557355425792,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Tue Feb 18 23:16:49 +0000 2020,La #AerovíaGuayaquil parece que ya está lista en su fase inicial. https://t.co/VJlrxy2Sjr,https://twitter.com/JuancarlosHM89,https://twitter.com/JuancarlosHM89/status/1229907651355697154,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Wed Jan 30 22:41:58 +0000 2019,Incada de primeros pilotes #aeroviaguayaquil https://t.co/GB82ER80Ld,https://twitter.com/SamuelQuinteroL,https://twitter.com/SamuelQuinteroL/status/1090741941124374533,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Wed Apr 07 15:29:27 +0000 2021,"Ayer con las mujeres de mi vida 🥰✌🏻 vagando por la #aerovíaguayaquil 🤭 ❤ en Guayaquil, Ecuador https://t.co/Vvs6dFFqwu",https://twitter.com/vampikax,https://twitter.com/vampikax/status/1379818611917869058,2023-05-22T21:43:39.281Z,#AeroVíaGuayaquil
Mon Apr 10 16:05:59 +0000 2023,"A .PRO domain name is perfect for digital freelancers, consultants, and online professionals looking to showcase their skills. Get your .PRO domain name, only $0.99 for the first year from Porkbun.",https://twitter.com/Porkbun,https://twitter.com/Porkbun/status/1645458110994321409,2023-05-22T21:43:39.282Z,#AeroVíaGuayaquil
Tue Mar 21 09:05:32 +0000 2023,No time to get ready for your meeting? Use xpression camera to be dressed for all occasions.,https://twitter.com/xpression_app,https://twitter.com/xpression_app/status/1638104542729637889,2023-05-22T21:43:39.282Z,#AeroVíaGuayaquil
Mon Jan 09 18:07:07 +0000 2023,"Aerovía: crónica de millones perdidos
¿Hubo algún concejal que fiscalice esto?
NINGUNO. Toditos calladitos.
Conmigo todos estos negociados se acaban. #ecuador  #votos #voto #elecciones #aerovia #aeroviaguayaquil #alcaldiadeguayaquil #alcaldia #municipioguayaquil https://t.co/nzOQY3hUdr",https://twitter.com/JoselitoPaladin,https://twitter.com/JoselitoPaladin/status/1612511298767720450,2023-05-22T21:43:39.282Z,#AeroVíaGuayaquil
Wed Sep 15 00:07:27 +0000 2021,"@PatiDBlacio @fabriziocelleri @lulagaray @PattyAviBoom @RonPeper @constanzapaler1 #GuayaquilDeMisAmores  😍😍😍  #AeroviaGuayaquil 
Felicitaciones al diseñador hermosa colección!! 🤗🤗🤗",https://twitter.com/narcymaya2,https://twitter.com/narcymaya2/status/1437931030929973250,2023-05-22T21:43:39.282Z,#AeroVíaGuayaquil
