postUrl,description,commentCount,likeCount,location,locationId,pubDate,isSidecar,type,caption,profileUrl,username,taggedFullName1,taggedUsername1,taggedFullName2,taggedUsername2,imgUrl,postId,timestamp,query,videoUrl,viewCount,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,likedByViewer,videoDuration,playCount,fullName,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,taggedFullName16,taggedUsername16,taggedFullName17,taggedUsername17,taggedFullName18,taggedUsername18,taggedFullName19,taggedUsername19,taggedFullName20,taggedUsername20
https://www.instagram.com/p/CuP-igvp2_H/,"Nos vemos éste martes 04 de julio en vivo para hablar con dos grandes representantes del activismo LGBTIQ+ @jucapriga
Y @nelsondpolania

Si tienen dudas o aportes, les leo! ⬇️",0,34,"Bogotá, Colombia",213888966,2023-07-03T21:04:41.000Z,false,Photo,"Photo by Lina García Sierra in Bogotá, Colombia with @jucapriga, and @nelsondpolania. May be an image of 3 people, poster, top and text that says 'Juan Carlos Prieto Nelson Daniel Polanía Sumerce Lina Garcia Ex Director de Diversidad Sexual Creador de contenidoy Activista LGBTIg VIVO Abogada activista ESTAREMOS ENVIVO Hablando de diversiad Política Pública LGBTIQ+ en Bogotá ¡Responderemos dudas que dejen en los comentarios! @jucapriga @linagarciasi @nelsondpolania 04 JULIO 7:00 PM'.",https://www.instagram.com/linagarciasi,linagarciasi,Nelson D. Polanía,nelsondpolania,Juan Carlos Prieto García,jucapriga,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/357492645_2185607005162288_5536380516513464262_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=9cGDOGxffusAX8zXd6J&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA6YRQJf4rcYo1cLWWTIfABRynz8Ba-ZueOQOXpQCt8Cg&oe=64A9E593&_nc_sid=8b3546,3139002515805663175,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuS_DSxJPH1/,"Hablemos de Política LGBTIQ+ en Bogotá con @nelsondpolania y @jucapriga.

El amor es lo que importa. 

#ConAmorPorBogotá #lgbtiq #pridemonth #Bogotá",0,43,"Bogotá, Colombia",213888966,2023-07-05T01:07:12.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,,,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/357453286_1015659272949519_1737251826550538184_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=qNNrtdoFjmwAX9qkMf2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCLAE_8dsVSMEH5qKHjd4MjhUd57dR9cyERzmBDzZTCVA&oe=64A74784&_nc_sid=8b3546,3139849193471144437,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/v/t50.2886-16/10000000_3497630417182975_8289811393305711987_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=3sKpL35-LtcAX-7ziKe&edm=AOQ1c0wBAAAA&vs=18009054913749135_2395025121&_nc_vs=HBksFQAYJEdJQ1dtQUQtWUpLS0UyME1BSE1WX1hpS1V3dHpicUNCQUFBRhUAAsgBABUAGCRHSUNXbUFEaXFvSEE3TkVDQU5nTFpmRnRGVmN5YnFDQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaMgp354KmgQRUCKAJDMywXQKzXKfvnbIsYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-5&oh=00_AfA2aR8kmWonxRFcB-lQVOwOmDyj9bTivupWKSj0s6GDaQ&oe=64A760B2&_nc_sid=8b3546,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuN2HmKsXg0/,"El amor es lo importante #pride2023 

#Bogotá #ConAmorPorBogotá",1,133,"Bogotá, Colombia",213888966,2023-07-03T01:12:37.000Z,true,Photo,"Photo shared by Lina García Sierra on July 02, 2023 tagging @yesid_salamanca. May be an image of 6 people, people kissing, flag and text.",https://www.instagram.com/linagarciasi,linagarciasi,Paula Lara,paulis9110,Katherin Rocio Posada Neira,katherinposadan,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/357530800_158411887247592_8832451949999080990_n.heic?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=i8_k3t-vx1MAX9Utw68&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDm1KPY04MNun7wjW8SQX1JF_cw8Q3b75LfpFWsOdj47g&oe=64AB3BB1&_nc_sid=8b3546,3138402527313167848,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,,,Cristian Ugarte,cristianugartec,John Nel Saenz,john_saenz04,Ingrith Escobar,ingrithescobar,Yesid Salamanca,yesid_salamanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuMv3I4sC6m/,"Hoy es la Gran Marcha del Orgullo 2023

¿Vamos? 12:30 P.M. Plazoleta del Concejo. 

Lo importante es el amor!!!!! 

Que cada calle de Bogotá se pinte de colores. #ConAmorPorBogotá",0,28,,,2023-07-02T14:58:43.000Z,false,Photo,"Photo by Lina García Sierra on July 02, 2023. May be an image of one or more people and text that says 'IMPORTANTE ES EL 10 CON AMOR AMOR AMOR BOGOTA Lina GARCÍA ¡VAMOS A MARCHAR! DOMINGO 2 DE JULIO 12:30 PM PLAZOLETA DEL CONCEJO'.",https://www.instagram.com/linagarciasi,linagarciasi,,,,,https://scontent-yyz1-1.cdninstagram.com/v/t39.30808-6/356822454_725948452873430_1336354212797166125_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=T9dieRRAXBAAX-vBO95&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfB80qvF_9PAwiw8cCjU8wY7baHuJSky5vLZj_UZdvR2tQ&oe=64AB4E69&_nc_sid=8b3546,3138093537668640422,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuF-YKUu7nu/,"Basta de impunidad y ocultamiento. ¿Cómo fue posible que desaparecieran jóvenes y los registraran como criminales abatidos? Hoy, el Ministro de Justicia condena esta aberrante política pública. El #GobiernoDelCambio se compromete con la verdad, la justicia y la reparación. #DignidadRestaurada",0,17,,,2023-06-29T23:50:52.000Z,false,Photo,"Photo by Lina García Sierra on June 29, 2023. May be an image of 7 people, jeep and text.",https://www.instagram.com/linagarciasi,linagarciasi,,,,,https://scontent-yyz1-1.cdninstagram.com/v/t39.30808-6/357366689_724090013059274_4852896880313267917_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ljnSJpMi-TAAX9e3E8h&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfANoAc0VyyblkZ7ILgO_1gV20ysn1XTPVHHHOCrylUKQA&oe=64A9D21B&_nc_sid=8b3546,3136187054769813998,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuFqR91JpYA/,"No sea 💩 con la caca de su perro!
Concienciando en Usaquén.

#conamorporbogotá #conamorporusaquén #bogotá",1,61,Usaquén,898211090,2023-06-29T20:55:32.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,Valentina Gutierrez Bastidas,_valentina_gutierrezb,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/356409951_600302135564341_4457934848611611743_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=m9L4e_umKnsAX8pLg2J&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAZdMSqlGZfA9f8PhIgM8cmeDq_VF96xRI60fd8K1BLWw&oe=64A724E6&_nc_sid=8b3546,3136098668107961856,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/v/t50.2886-16/10000000_1438257216962015_2160788451750142194_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=_z6D7BNHrGMAX86zJhN&edm=AOQ1c0wBAAAA&vs=18365064469062384_1652820891&_nc_vs=HBksFQAYJEdJQ1dtQURmUFlOYUZod0ZBUEpnVlFXbXFmd2RicUNCQUFBRhUAAsgBABUAGCRHTWM5RXhYckdlZlNSOVFBQVAwd1hmSW16WTFtYnFDQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACa4tMuTjLefQBUCKAJDMywXQGqgan752yMYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-5&oh=00_AfDqsJKzfu8Ob3EXk8mqthOs4n00tlj9_vjsLP38SWzRkg&oe=64A6C372&_nc_sid=8b3546,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuDna_Vtx1O/,"Cerramos el día con vecinos de  Usaquén y una de nuestras pre candidatas, Valentina Gutiérrez. 

El 9 de julio en la Consulta del Partido Alianza Verde vota por el 9 -  Valentina Gutiérrez Bastidas. 

#conamorporbogotá
#bogotá
#votaciones 
#partidoverde 
#Usaquén",0,49,Usaquén,898211090,2023-06-29T01:54:37.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,Valentina Gutierrez Bastidas,_valentina_gutierrezb,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/356399673_578171661188661_3871805762825173101_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=mosykcp1mJMAX9hLsa_&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCcjsG7_NC4eaj0i3gTyL_WN8Y6E4Pif0tdT-aELtpnDw&oe=64A74C9C&_nc_sid=8b3546,3135523144110382414,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/v/t66.30100-16/316294728_166583436306344_4337630407941188660_n.mp4?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=nFsjJNXtVLYAX_2rxfn&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCifGlksj3sr2_UgaG1y3dygmiJUdO7Odv6dWWEEbhyjw&oe=64A6F8C6&_nc_sid=8b3546,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuCs_7-LwXu/,"RCN También nos acompañó esta mañana a denunciar las demoras en la obra de la Av. 1 de Mayo, el Acueducto de Bogotá y la empresa Metro prometieron una obra de duración 3 meses y hoy ya han pasado 18 meses...

La comunidad está cansada de la afectación comercial y a la salud.

#ConAmorPorBogotá #Bogotá #obrasinconclusas #corruption #corrupción #acueductodebogota #metro #idu",0,30,"Kennedy Bogotá, D.c.",109386131191785,2023-06-28T17:25:30.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,Daniel Romero,danipatoxxamorxpuente_aranda,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/356615270_279662951243545_1684557284495975414_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=QXey_EnVxSMAX8NYlEB&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCmHjz9y3dubeQLOJ-aPTvdnD6u8OKlY4OGloBwkDNL0Q&oe=64A6EE3D&_nc_sid=8b3546,3135266198370846190,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/v/t50.2886-16/10000000_712753070654244_4810298413188242742_n.mp4?_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=i7gCF5hMF_MAX8kZxrR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAGnZqDmCd6XtxyVJAGyAtke9FayxpYaFFS9xujgK9-nQ&oe=64A6D121&_nc_sid=8b3546,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuCPIxBtn3w/,"Hoy estuvimos en vivo denunciando las demoras en las obras realizadas en la Av. 1 de Mayo, por parte del Acueducto y del Consorcio Metro.

Nos prometieron qué en 3 meses acababan y ya han pasado 18 meses... IDU.. ¿Hasta cuándo?

Triste cumpleaños de una obra qué afecta al comercio, a la salud y a la calidad de vida de los vecinos y vecinas de Kennedy.

#conamorporbogotá #obrasinconclusas #Bogotá #Kennedy",1,44,"Kennedy Bogotá, D.c.",109386131191785,2023-06-28T13:04:26.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,Daniel Romero,danipatoxxamorxpuente_aranda,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/356355940_838714924259479_2528211384510316189_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=o-9DcgubPmsAX-3U6Ke&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA0g4_lACfp1pGsZWBBpWXhxF8vZwDGLkA2KMOIIWeAPQ&oe=64A74F58&_nc_sid=8b3546,3135134863698853360,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/o1/v/t16/f1/m82/9D48809733E4F5944039C81A83747091_video_dashinit.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSIsInZlbmNvZGVfdGFnIjoidnRzX3ZvZF91cmxnZW4uNjQwLmNsaXBzLmJhc2VsaW5lIn0&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=102&vs=927711548306495_2277316166&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC85RDQ4ODA5NzMzRTRGNTk0NDAzOUM4MUE4Mzc0NzA5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0E0ZWpRSW1pZmlXc0prQUFHck94QkVLcWVObmJwUjFBQUFGFQICyAEAKAAYABsAFQAAJpr9%2FLbHpfU%2FFQIoAkMzLBdAaau2RaHKwRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1%2FgcA&ccb=9-4&oh=00_AfDB23CdCRJ332uHsmFa_7xX-ZlgMm2C3IOryP0MyLCiYw&oe=64A6F6DE&_nc_sid=8b3546,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CuBAEwxvfrL/,"Hablemos de protección animal en Bogotá con las maravillosas @marcelavalenciar y @esmehernandezsi 

Bogotá ya es animalista. 

#ConAmorPorLosAnimales",0,55,"Bogotá, Colombia",213888966,2023-06-28T01:30:00.000Z,false,Video,,https://www.instagram.com/linagarciasi,linagarciasi,,,,,https://scontent-yyz1-1.cdninstagram.com/v/t51.2885-15/356234984_1474245693405952_336219244852374123_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=O6Yv669wipAAX-_-rhV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCFwcT2uXcTYsizGSj-qwEemDlu7gqVRqJkF-1bairtIQ&oe=64A753E9&_nc_sid=8b3546,3134787142878624459,2023-07-05T13:34:41.855Z,https://www.instagram.com/linagarciasi/,https://scontent-yyz1-1.cdninstagram.com/v/t50.2886-16/10000000_3104693949826751_2959249967439985446_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=scontent-yyz1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=o9q8pjpt7_AAX_QhYXy&edm=AOQ1c0wBAAAA&vs=17995925341962277_3948107237&_nc_vs=HBksFQAYJEdJQ1dtQUMtQmdUa3N3Y0xBQ2E3MktZcVhoRXBicUNCQUFBRhUAAsgBABUAGCRHSUNXbUFEeERFR1pQOEFFQU1nS0QyQXlIanNWYnFDQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaYuLOHmK72PxUCKAJDMywXQLRnyHKwIMUYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=7-5&oh=00_AfCr7dm5i9gV-Mn0LgSz-3uQ9U8Ank0qK39E3iygxxgqKg&oe=64A70D8F&_nc_sid=8b3546,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
